Integrations,Integracje
Add New Integration,Dodaj nową integrację
API,API
Save,Zapisać
Save & Activate,Zapisz i aktywuj
New Integration,Nowa integracja
Edit Integration '%1',"Edytuj integrację "" %1"""
Integration Info,Informacje o integracji
General,Generał
Name,Nazwa
Email,E-mail
Callback URL,Adres URL wywołania zwrotnego
Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.,"Wprowadź adres URL, w którym dane uwierzytelniające Oauth mogą być wysyłane podczas używania Oauth do wymiany znaczników. Zdecydowanie zalecamy korzystanie z https: //."
Identity link URL,Link do URL-a tożsamości
URL to redirect user to link their 3rd party account with this Magento integration credentials.,"Adres URL, aby przekierować użytkownika, aby połączyć jego konto firm trzecich z tymi danymi uwierzytelniającymi integrację Magento."
Current User Identity Verification,Aktualna weryfikacja tożsamości użytkownika
Your Password,Twoje hasło
Integration Details,Szczegóły integracji
Basic Settings,Podstawowe ustawienia
Integration Tokens for Extensions,Tokeny integracyjne dla rozszerzeń
Consumer Key,Klucz klienta
Consumer Secret,Sekret klienta
Access Token,Token dostępu
Access Token Secret,Uzyskaj dostęp do tajnego klucza tokena
Uninstall the extension to remove this integration,"Odinstaluj rozszerzenie, aby usunąć tę integrację"
Remove,Usunąć
View,Widok
Edit,Edytować
Activate,Aktywuj
Reauthorize,Ponownie autoryzuj
Integration not secure,Integracja nie jest bezpieczna
Uninstall the extension to remove integration '%1'.,"Odinstaluj rozszerzenie, aby usunąć integrację "" %1""."
This integration no longer exists.,Ta integracja już nie istnieje.
The integration '%1' has been deleted.,"Integracja "" %1"" została usunięta."
Integration ID is not specified or is invalid.,Identyfikator integracji nie jest określony lub jest nieprawidłowy.
Internal error. Check exception log for details.,"Błąd wewnętrzny. Sprawdź dziennik wyjątków, aby poznać szczegóły."
"View ""%1"" Integration","Zobacz integrację "" %1"""
"Edit ""%1"" Integration","Edytuj integrację "" %1"""
Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information,Ostrzeżenie! Integracje nie używające protokołu HTTPS są niepewne i potencjalnie mogą ujawnić prywatne lub osobiste informacje umożliwiające identyfikację
Cannot edit integrations created via config file.,Nie można edytować integracji utworzonych za pomocą pliku konfiguracyjnego.
The integration '%1' has been saved.,"Integracja "" %1"" została zapisana."
The integration was not saved.,Integracja nie została zapisana.
The integration '%1' has been re-authorized.,"Integracja "" %1"" została ponownie zatwierdzona."
The integration '%1' has been activated.,"Integracja "" %1"" została aktywowana."
Integration '%1' has been sent for re-authorization.,"Integracja "" %1"" została wysłana w celu ponownej autoryzacji."
Integration '%1' has been sent for activation.,"Integracja "" %1"" została wysłana do aktywacji."
A consumer with ID %1 does not exist,Konsument o identyfikatorze %1 nie istnieje
title,tytuł
You did not sign in correctly or your account is temporarily disabled.,Nie zalogowałeś się poprawnie lub Twoje konto zostało tymczasowo wyłączone.
This user has no tokens.,Ten użytkownik nie ma żadnych tokenów.
The tokens could not be revoked.,Tokeny nie mogły zostać odwołane.
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","Niestety, coś poszło nie tak, przyznając uprawnienia. Więcej informacji można znaleźć w dzienniku wyjątków."
Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.,Coś poszło nie tak podczas usuwania ról i uprawnień. Więcej informacji można znaleźć w dzienniku wyjątków.
%fieldName is a required field.,% fieldName jest polem wymaganym.
This customer has no tokens.,Ten klient nie ma żadnych tokenów.
Inactive,Nieaktywny
Active,Aktywny
Reset,Nastawić
Integration with name '%1' exists.,"Integracja z nazwą "" %1"" istnieje."
Integration with ID '%1' does not exist.,"Integracja z identyfikatorem "" %1"" nie istnieje."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Jedna lub więcej <a href=""%1""> integracji </a> zostało zresetowanych z powodu zmiany ich konfiguracji xml."
Invalid Callback URL,Nieprawidłowy URL wywołania zwrotnego
Invalid Rejected Callback URL,Nieprawidłowy odrzucony adres zwrotny URL
Incorrect timestamp value in the oauth_timestamp parameter,Nieprawidłowa wartość znacznika czasu w parametrze oauth_timestamp
The nonce is already being used by the consumer with ID %1,Liczba jednorazowa jest już używana przez konsumenta z identyfikatorem %1
An error occurred validating the nonce,Wystąpił błąd podczas sprawdzania poprawności numeru
Cannot convert to access token due to token is not request type,"Nie można przekonwertować na token dostępu ze względu na token, ale nie jest to typ żądania"
Consumer key has expired,Klucz konsumenta wygasł
Cannot create request token because consumer token is not a verifier token,"Nie można utworzyć tokena żądania, ponieważ token konsumenta nie jest tokenem weryfikatora"
Request token is not associated with the specified consumer,Żeton żądania nie jest powiązany z określonym konsumentem
Token is already being used,Token jest już używany
Cannot get access token because consumer token is not a request token,"Nie można uzyskać tokena dostępu, ponieważ token konsumenta nie jest tokenem żądania"
Token is not associated with the specified consumer,Token nie jest powiązany z określonym konsumentem
Token is not an access token,Token nie jest tokenem dostępu
Access token has been revoked,Tok dostępu został odwołany
Consumer key is not the correct length,Klucz klienta nie ma prawidłowej długości
A consumer having the specified key does not exist,Konsument o określonym kluczu nie istnieje
Verifier is invalid,Weryfikator jest nieprawidłowy
Verifier is not the correct length,Verifier nie ma prawidłowej długości
Token verifier and verifier token do not match,Weryfikator tokena i tokena weryfikatora nie są zgodne
A consumer with the ID %1 does not exist,Konsument o identyfikatorze %1 nie istnieje
Token is not the correct length,Token ma nieprawidłową długość
Specified token does not exist,Określony token nie istnieje
A token with consumer ID %1 does not exist,Token z identyfikatorem konsumenta %1 nie istnieje
Unexpected error. Unable to create oAuth consumer account.,Niespodziewany błąd. Nie można utworzyć konta konsumenta oAuth.
Unexpected error. Unable to load oAuth consumer account.,Niespodziewany błąd. Nie można załadować konta konsumenta oAuth.
Unable to post data to consumer due to an unexpected error,Nie można wysłać danych do klienta z powodu nieoczekiwanego błędu
Consumer with ID '%1' does not exist.,"Konsument o identyfikatorze "" %1"" nie istnieje."
Invalid token to except,Nieprawidłowy token do z wyjątkiem
Integration with ID '%1' doesn't exist.,"Integracja z identyfikatorem "" %1"" nie istnieje."
Your account is temporarily disabled.,Twoje konto jest tymczasowo wyłączone.
You have entered an invalid password for current user.,Wprowadziłeś nieprawidłowe hasło dla bieżącego użytkownika.
A token with consumer ID 0 does not exist,Token z identyfikatorem konsumenta 0 nie istnieje
The integration you selected asks you to approve access to the following:,Wybrana integracja prosi o zatwierdzenie dostępu do następujących elementów:
No permissions requested,Brak wymaganych uprawnień
Are you sure ?,Jesteś pewny ?
Are you sure you want to delete this integration? You can't undo this action.,Czy na pewno chcesz usunąć tę integrację? Nie możesz cofnąć tej akcji.
Please setup or sign in into your 3rd party account to complete setup of this integration.,"Ustaw lub zaloguj się na swoje konto innej firmy, aby dokończyć konfigurację tej integracji."
Available APIs,Dostępne interfejsy API
Resource Access,Dostęp do zasobów
Custom,Zwyczaj
All,Wszystko
Resources,Zasoby
"Sorry, something went wrong. Please try again later.","Przepraszam, coś poszło nie tak. Spróbuj ponownie później."
Popup Blocker is enabled! Please add this site to your exception list.,Blokowanie wyskakujących okienek jest włączone! Dodaj tę witrynę do listy wyjątków.
Allow,Dopuszczać
Done,Gotowe
Extensions,Rozszerzenia
OAuth,OAuth
Access Token Expiration,Dostęp do wygaśnięcia Tokenów
Customer Token Lifetime (hours),Żeton życia klienta (godziny)
Admin Token Lifetime (hours),Żywot życia administracyjnego (godziny)
Cleanup Settings,Ustawienia czyszczenia
Cleanup Probability,Prawdopodobieństwo czyszczenia
Expiration Period,Okres ważności
Consumer Settings,Ustawienia konsumenckie
OAuth consumer credentials HTTP Post maxredirects,Poświadczenia konsumenckie OAuth HTTP Post maxredirects
OAuth consumer credentials HTTP Post timeout,Dane uwierzytelniające użytkownika OAuth czas oczekiwania na komunikat HTTP
Authentication Locks,Uwierzytelnianie Blokady
Maximum Login Failures to Lock Out Account,Maksymalne błędy logowania w celu zablokowania konta
Lockout Time (seconds),Czas blokady (sekundy)
Integrations Configuration,Konfiguracja integracji
Integration configuration file,Plik konfiguracji integracji
Integrations API Configuration,Integracja Konfiguracja interfejsu API
Integrations API configuration file,Plik konfiguracyjny interfejsu API integracji
We couldn't find any records.,Nie znaleźliśmy żadnych rekordów.
Status,Status
